Year,Month,Day,Hour,Value
2006,2,16,9,7548
2006,2,16,10,7608
2006,2,16,11,7522
2006,2,16,12,7370
2006,2,16,13,7323
2006,2,16,14,7330
2006,2,16,15,7390
2006,2,16,16,7179
2006,2,16,17,7131
2006,2,16,18,7310
2006,2,16,19,7758
2006,2,16,20,7759
2006,2,16,21,7620
2006,2,16,22,7344
2006,2,16,23,6977
2006,2,17,0,6549
2006,2,17,1,6305
2006,2,17,2,6016
2006,2,17,3,5951
2006,2,17,4,5921
2006,2,17,5,5983
2006,2,17,6,6158
2006,2,17,7,6517
2006,2,17,8,7047
2006,2,17,9,7241
2006,2,17,10,7306
2006,2,17,11,7136
2006,2,17,12,7032
2006,2,17,13,7031
2006,2,17,14,7096
2006,2,17,15,6947
2006,2,17,16,6767
2006,2,17,17,6758
2006,2,17,18,6821
2006,2,17,19,7326
2006,2,17,20,7404
2006,2,17,21,7321
2006,2,17,22,6884
2006,2,17,23,6527
2006,2,18,0,6188
2006,2,18,1,6025
2006,2,18,2,5852
2006,2,18,3,5676
2006,2,18,4,5609
2006,2,18,5,5631
